iter	Passed	Remaining
0	241	96465
1	350	69683
2	446	59039
3	544	53877
4	632	49976
5	727	47798
6	821	46110
7	913	44777
8	1011	43944
9	1105	43114
10	1188	42037
11	1268	41022
12	1346	40072
13	1422	39232
14	1494	38370
15	1571	37726
16	1643	37019
17	1715	36410
18	1788	35854
19	1864	35427
20	1937	34961
21	2004	34434
22	2075	34019
23	2145	33608
24	2213	33208
25	2284	32866
26	2361	32627
27	2443	32458
28	2531	32381
29	2608	32176
30	2685	31971
31	2752	31651
32	2824	31413
33	2899	31210
34	2975	31031
35	3041	30753
36	3111	30527
37	3182	30320
38	3250	30090
39	3316	29844
40	3382	29617
41	3451	29420
42	3518	29209
43	3587	29023
44	3668	28940
45	3744	28816
46	3825	28731
47	3890	28531
48	3975	28479
49	4048	28340
50	4120	28195
51	4194	28073
52	4278	28010
53	4348	27864
54	4419	27723
55	4504	27670
56	4577	27543
57	4666	27514
58	4751	27464
59	4836	27408
60	4917	27329
61	4999	27256
62	5068	27114
63	5140	26985
64	5221	26908
65	5293	26788
66	5380	26741
67	5452	26623
68	5532	26541
69	5610	26451
70	5690	26366
71	5761	26245
72	5832	26124
73	5911	26041
74	5989	25952
75	6058	25826
76	6142	25766
77	6215	25658
78	6301	25605
79	6368	25472
80	6441	25367
81	6512	25256
82	6586	25156
83	6657	25044
84	6730	24941
85	6799	24827
86	6876	24738
87	6948	24635
88	7017	24521
89	7109	24487
90	7177	24372
91	7289	24403
92	7356	24285
93	7430	24187
94	7502	24086
95	7571	23975
96	7638	23860
97	7705	23746
98	7775	23641
99	7848	23544
100	7925	23461
101	7995	23360
102	8072	23278
103	8145	23183
104	8218	23089
105	8300	23021
106	8365	22908
107	8434	22803
108	8505	22708
109	8579	22619
110	8647	22514
111	8712	22402
112	8782	22305
113	8851	22206
114	8920	22106
115	8992	22016
116	9066	21930
117	9141	21845
118	9225	21784
119	9302	21706
120	9373	21612
121	9444	21521
122	9515	21430
123	9585	21335
124	9653	21237
125	9719	21136
126	9793	21052
127	9860	20954
128	9933	20867
129	10004	20778
130	10072	20683
131	10141	20589
132	10210	20497
133	10282	20410
134	10350	20317
135	10432	20251
136	10508	20172
137	10585	20096
138	10653	20004
139	10727	19922
140	10797	19833
141	10863	19737
142	10935	19653
143	11004	19564
144	11075	19477
145	11143	19386
146	11214	19301
147	11284	19214
148	11361	19139
149	11436	19060
150	11503	18969
151	11577	18888
152	11647	18803
153	11717	18717
154	11790	18636
155	11861	18552
156	11931	18466
157	12001	18382
158	12075	18303
159	12147	18220
160	12222	18144
161	12295	18064
162	12368	17983
163	12442	17905
164	12515	17825
165	12586	17742
166	12655	17657
167	12723	17570
168	12791	17484
169	12860	17399
170	12930	17316
171	12999	17231
172	13071	17151
173	13140	17067
174	13207	16980
175	13283	16905
176	13347	16816
177	13416	16732
178	13485	16649
179	13551	16563
180	13635	16498
181	13701	16411
182	13768	16326
183	13835	16241
184	13900	16155
185	13964	16066
186	14035	15986
187	14102	15902
188	14173	15822
189	14243	15743
190	14310	15659
191	14378	15576
192	14447	15495
193	14514	15412
194	14584	15332
195	14652	15250
196	14724	15173
197	14792	15090
198	14862	15012
199	14932	14932
200	14999	14850
201	15068	14769
202	15135	14687
203	15202	14606
204	15269	14524
205	15340	14447
206	15408	14366
207	15478	14287
208	15544	14205
209	15611	14124
210	15680	14045
211	15745	13963
212	15816	13886
213	15883	13805
214	15952	13726
215	16019	13646
216	16088	13567
217	16155	13487
218	16223	13408
219	16290	13328
220	16356	13247
221	16423	13168
222	16492	13090
223	16558	13010
224	16627	12932
225	16694	12853
226	16760	12773
227	16828	12694
228	16897	12617
229	16968	12542
230	17035	12463
231	17107	12388
232	17172	12308
233	17239	12229
234	17304	12150
235	17371	12071
236	17439	11993
237	17508	11917
238	17580	11842
239	17649	11766
240	17718	11689
241	17800	11622
242	17866	11543
243	17933	11465
244	18001	11388
245	18074	11314
246	18142	11237
247	18207	11159
248	18273	11081
249	18339	11003
250	18407	10927
251	18475	10850
252	18545	10775
253	18611	10698
254	18679	10621
255	18752	10548
256	18818	10471
257	18883	10393
258	18950	10316
259	19017	10240
260	19084	10164
261	19156	10089
262	19225	10014
263	19289	9937
264	19355	9860
265	19422	9784
266	19488	9707
267	19554	9631
268	19621	9555
269	19690	9480
270	19757	9404
271	19823	9328
272	19889	9252
273	19959	9178
274	20029	9104
275	20101	9031
276	20170	8956
277	20244	8884
278	20317	8811
279	20388	8737
280	20459	8664
281	20529	8590
282	20600	8516
283	20670	8442
284	20741	8369
285	20809	8294
286	20882	8221
287	20952	8148
288	21021	8074
289	21092	8000
290	21161	7926
291	21231	7852
292	21303	7779
293	21373	7706
294	21447	7633
295	21518	7560
296	21589	7487
297	21660	7414
298	21731	7340
299	21801	7267
300	21870	7193
301	21939	7119
302	22011	7046
303	22082	6973
304	22153	6900
305	22220	6825
306	22285	6750
307	22356	6677
308	22424	6604
309	22497	6531
310	22565	6457
311	22631	6383
312	22696	6308
313	22766	6235
314	22834	6161
315	22903	6088
316	22970	6014
